id,timestamp,x,y,theta
17,2025-04-29 21:45:12.423236,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.423236,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.423236,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.552516,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.552516,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.552516,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.605380,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.605380,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.605380,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.630497,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.630497,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.630497,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.660844,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.660844,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.660844,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.685423,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.685423,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.685423,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.710862,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.710862,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.710862,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.732434,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.732434,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.732434,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.755618,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.755618,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.755618,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.779398,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.779398,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.779398,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.808664,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.808664,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.808664,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.834899,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.834899,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.834899,0.4234,0.6687,84.8572
17,2025-04-29 21:45:12.985762,0.3016,0.2125,284.5536
3,2025-04-29 21:45:12.985762,0.5797,0.5229,2.9357
1,2025-04-29 21:45:12.985762,0.4234,0.6687,84.8572
17,2025-04-29 21:45:13.168163,0.3016,0.2125,284.5536
3,2025-04-29 21:45:13.168163,0.5797,0.5229,2.9357
1,2025-04-29 21:45:13.168163,0.4234,0.6687,84.8572
17,2025-04-29 21:45:13.344337,0.3016,0.2125,284.5536
3,2025-04-29 21:45:13.344337,0.5797,0.5229,2.9357
1,2025-04-29 21:45:13.344337,0.4234,0.6687,84.8572
17,2025-04-29 21:45:13.468488,0.3016,0.2125,284.5536
3,2025-04-29 21:45:13.468488,0.5797,0.5229,2.9357
1,2025-04-29 21:45:13.468488,0.4234,0.6687,84.8572
17,2025-04-29 21:45:13.605086,0.3016,0.2125,284.5536
3,2025-04-29 21:45:13.605086,0.5797,0.5229,2.9357
1,2025-04-29 21:45:13.605086,0.4234,0.6687,84.8572
17,2025-04-29 21:45:13.818810,0.3016,0.2125,284.5536
3,2025-04-29 21:45:13.818810,0.5797,0.5229,2.9357
1,2025-04-29 21:45:13.818810,0.4234,0.6687,84.8572
17,2025-04-29 21:45:13.944488,0.3016,0.2125,284.5536
3,2025-04-29 21:45:13.944488,0.5797,0.5229,2.9357
1,2025-04-29 21:45:13.944488,0.4234,0.6687,84.8572
17,2025-04-29 21:45:14.067776,0.3016,0.2125,284.5536
3,2025-04-29 21:45:14.067776,0.5797,0.5229,2.9357
1,2025-04-29 21:45:14.067776,0.4234,0.6687,84.8572
17,2025-04-29 21:45:14.256462,0.3016,0.2125,284.5536
3,2025-04-29 21:45:14.256462,0.5797,0.5229,2.9357
1,2025-04-29 21:45:14.256462,0.4234,0.6687,84.8572
17,2025-04-29 21:45:14.350877,0.3016,0.2125,284.5536
3,2025-04-29 21:45:14.350877,0.5797,0.5229,2.9357
1,2025-04-29 21:45:14.350877,0.4234,0.6687,84.8572
17,2025-04-29 21:45:14.460852,0.3016,0.2125,284.5536
3,2025-04-29 21:45:14.460852,0.5797,0.5229,2.9357
1,2025-04-29 21:45:14.460852,0.4234,0.6687,84.8572
17,2025-04-29 21:45:14.598659,0.3016,0.2125,284.5536
3,2025-04-29 21:45:14.598659,0.5797,0.5229,2.9357
1,2025-04-29 21:45:14.598659,0.4234,0.6687,84.8572
17,2025-04-29 21:45:14.723572,0.3016,0.2125,284.5536
3,2025-04-29 21:45:14.723572,0.5797,0.5229,2.9357
1,2025-04-29 21:45:14.723572,0.4234,0.6687,84.8572
17,2025-04-29 21:45:14.895139,0.3016,0.2125,284.5536
3,2025-04-29 21:45:14.895139,0.5797,0.5229,2.9357
1,2025-04-29 21:45:14.895139,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.052111,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.052111,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.052111,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.181198,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.181198,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.181198,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.344428,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.344428,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.344428,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.449039,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.449039,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.449039,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.556045,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.556045,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.556045,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.725906,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.725906,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.725906,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.841857,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.841857,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.841857,0.4234,0.6687,84.8572
17,2025-04-29 21:45:15.918889,0.3016,0.2125,284.5536
3,2025-04-29 21:45:15.918889,0.5797,0.5229,2.9357
1,2025-04-29 21:45:15.918889,0.4234,0.6687,84.8572
17,2025-04-29 21:45:16.076888,0.3016,0.2125,284.5536
3,2025-04-29 21:45:16.076888,0.5797,0.5229,2.9357
1,2025-04-29 21:45:16.076888,0.4234,0.6687,84.8572
