random_movement,task_successful,idle,path_following,robot_name,test_run
2025-07-14 00:29:41.219955,2025-07-14 00:29:41.254233,2025-07-14 00:29:41.347045,2025-07-14 00:29:41.383044,TurtleBot3Burger_2,
2025-07-14 00:55:31.314257,2025-07-14 00:55:31.346508,2025-07-14 00:55:31.446705,2025-07-14 00:55:31.483373,TurtleBot3Burger_2,4.0
2025-07-14 00:59:03.704238,2025-07-14 00:59:03.735068,2025-07-14 00:59:03.835926,2025-07-14 00:59:03.874195,TurtleBot3Burger_2,6.0
2025-07-14 00:59:54.367092,2025-07-14 00:59:54.400857,2025-07-14 00:59:54.492467,2025-07-14 00:59:54.530061,TurtleBot3Burger_2,8.0
2025-07-14 01:01:09.707524,2025-07-14 01:01:09.738857,2025-07-14 01:01:09.834018,2025-07-14 01:01:09.871376,TurtleBot3Burger_2,10.0
